session,budget_year,expenditure_area,expenditure_area_name,actor,proposal_type,amount_msek,deviation_msek,budget_share_pct,document_id,source_url
2016/17,2017,23,"Areella näringar, landsbygd och livsmedel",KD,party_motion,17241,52,1.8187,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,24,Näringsliv,KD,party_motion,5280,-1176,0.557,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,25,Allmänna bidrag till kommuner,KD,party_motion,94725,-10830,9.9923,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,26,Statsskuldsräntor m.m.,KD,party_motion,16468,0,1.7372,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,27,Avgiften till Europeiska unionen,KD,party_motion,29586,0,3.121,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,1,Rikets styrelse,L,party_motion,13242,-26,1.4026,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,2,Samhällsekonomi och finansförvaltning,L,party_motion,15096,-163,1.599,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,3,"Skatt, tull och exekution",L,party_motion,11005,19,1.1657,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,4,Rättsväsendet,L,party_motion,43279,812,4.5842,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,5,Internationell samverkan,L,party_motion,1913,0,0.2026,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,6,Försvar och samhällets krisberedskap,L,party_motion,52221,1967,5.5313,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,7,Internationellt bistånd,L,party_motion,35454,464,3.7553,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,8,Migration,L,party_motion,32111,-469,3.4012,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,9,"Hälsovård, sjukvård och social omsorg",L,party_motion,67974,-522,7.1999,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,10,Ekonomisk trygghet vid sjukdom och funktionsnedsättning,L,party_motion,102095,-4957,10.814,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,11,Ekonomisk trygghet vid ålderdom,L,party_motion,35073,299,3.715,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,12,Ekonomisk trygghet för familjer och barn,L,party_motion,89496,5,9.4795,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,13,Jämställdhet och nyanlända invandrares etablering,L,party_motion,33229,594,3.5197,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,14,Arbetsmarknad och arbetsliv,L,party_motion,69105,-6552,7.3197,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,15,Studiestöd,L,party_motion,21153,-1281,2.2406,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,16,Utbildning och universitetsforskning,L,party_motion,71744,-637,7.5992,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,17,"Kultur, medier, trossamfund och fritid",L,party_motion,13923,-598,1.4747,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,18,"Samhällsplanering, bostadsförsörjning och byggande samt konsumentpolitik",L,party_motion,1172,-5593,0.1241,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,19,Regional tillväxt,L,party_motion,3507,-88,0.3715,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,20,Allmän miljö- och naturvård,L,party_motion,6103,-2301,0.6464,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,21,Energi,L,party_motion,2571,-306,0.2723,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
