budget_year,expenditure_area,expenditure_area_name,appropriation_rows,approved_budget_msek,amendments_msek,outturn_msek,source_url
2001,5,Internationell samverkan,17,1092.317,71.813,1160.4681471200001,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2001,6,Försvar och samhällets krisberedskap,29,46915.852,1.2680000000000071,45280.91648346,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2001,7,Internationellt bistånd,5,14966.011,-202.606,16989.3136064,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2001,8,Migration,7,1962.639,821.299,2725.5782191300004,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2001,9,"Hälsovård, sjukvård och social omsorg",38,29358.378,464.585,29477.877863799993,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2001,10,Ekonomisk trygghet vid sjukdom och funktionsnedsättning,8,101949.802,5539.948,107315.50644277,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2001,11,Ekonomisk trygghet vid ålderdom,4,33779.6,30.0,33839.03746999,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2001,12,Ekonomisk trygghet för familjer och barn,8,52506.979,-500.0,52282.94518078,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2001,13,Integration och jämställdhet,13,7520.648999999999,-208.17,7362.31389755,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2001,14,Arbetsmarknad och arbetsliv,17,59536.285,-875.554,54873.23908681,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2001,15,Studiestöd,9,21978.801000000003,59.120000000000005,19446.926938350003,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2001,16,Utbildning och universitetsforskning,93,34509.64499999999,-558.5229999999999,32922.90999271002,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2001,17,"Kultur, medier, trossamfund och fritid",55,7806.917999999998,3.6790000000000043,7813.86709452,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2001,18,"Samhällsplanering, bostadsförsörjning och byggande samt konsumentpolitik",25,5121.197,377.684,4685.5581042,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2001,19,Regional utveckling,14,3764.453,0.779,3208.5445475799997,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2001,20,"Klimat, miljö och natur",20,2161.852,-24.193000000000005,2140.54079371,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2001,21,Energi,15,2301.2889999999998,8.028,1986.70701939,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2001,22,Kommunikationer,25,24793.236,233.35999999999999,24243.918661899992,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2001,23,"Areella näringar, landsbygd och livsmedel",39,13677.015000000005,3526.4749999999995,16626.593705999996,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2001,24,Näringsliv,31,3324.062999999999,-45.971999999999994,3156.8191576199993,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2001,25,Allmänna bidrag till kommuner,4,99362.633,1813.132181,100639.38710678,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2001,26,Statsskuldsräntor m.m.,3,70925.0,0.0,81259.8742889,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2001,27,Avgiften till Europeiska unionen,1,23804.0,0.0,23271.53797856,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2002,1,Rikets styrelse,22,9284.231000000002,131.45799999999997,9327.20254684,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2002,2,Samhällsekonomi och finansförvaltning,27,8754.408000000001,-3.0,8837.922475250001,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2002,3,"Skatt, tull och exekution",4,8057.645,1.652,8049.04935702,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2002,4,Rättsväsendet,14,23638.04,261.24,24048.64938538,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2002,5,Internationell samverkan,17,1162.29,153.0,1136.9254993199997,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2002,6,Försvar och samhällets krisberedskap,29,46208.645000000004,42.24999999999984,44998.76818320001,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2002,7,Internationellt bistånd,5,15043.822,-200.0,15683.515904950002,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2002,8,Migration,7,2689.835,1315.0,3812.51634359,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2002,9,"Hälsovård, sjukvård och social omsorg",35,31112.964999999993,588.95,31023.34768844,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2002,10,Ekonomisk trygghet vid sjukdom och funktionsnedsättning,8,108357.01799999998,6564.75,112889.06393730002,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2002,11,Ekonomisk trygghet vid ålderdom,4,33534.5,-58.0,33794.14643816,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2002,12,Ekonomisk trygghet för familjer och barn,8,53839.0,0.0,53914.45033846999,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2002,13,Integration och jämställdhet,13,6856.658,-7.5,7195.7511767,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2002,14,Arbetsmarknad och arbetsliv,17,55662.87299999999,978.3,57729.69200586001,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2002,15,Studiestöd,9,22951.537000000004,-959.94,21074.83423493,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2002,16,Utbildning och universitetsforskning,96,41086.233,-53.70000000000002,40487.83293233999,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2002,17,"Kultur, medier, trossamfund och fritid",54,8106.67,27.848,8094.970392209998,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2002,18,"Samhällsplanering, bostadsförsörjning och byggande samt konsumentpolitik",27,3718.492,89.30000000000001,3215.6476424099997,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2002,19,Regional utveckling,14,3313.125,0.0,3219.1267808599996,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2002,20,"Klimat, miljö och natur",18,2870.0119999999997,-18.362,2673.38525854,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2002,21,Energi,13,2171.559,0.0,2291.4789629600004,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2002,22,Kommunikationer,23,24574.615000000005,2.000000000000001,24379.879715129995,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2002,23,"Areella näringar, landsbygd och livsmedel",42,10838.984,3918.316,13921.679944799998,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2002,24,Näringsliv,31,3170.346,-34.5,3211.33430229,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2002,25,Allmänna bidrag till kommuner,5,98898.914,2838.0,102332.70257109,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2002,26,Statsskuldsräntor m.m.,3,63326.7,0.0,67339.65501234,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
