session,budget_year,expenditure_area,expenditure_area_name,actor,proposal_type,proposed_msek,approved_budget_msek,amendments_msek,outturn_msek,outturn_minus_proposal_msek,proposal_source_url,outturn_source_url
2016/17,2017,27,Avgiften till Europeiska unionen,GOV,government,29586,29586.305,0.0,24224.47935722,-5361.52064278,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,1,Rikets styrelse,KD,party_motion,12864,13592.676,47.2,13654.491512609999,790.4915126099986,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,2,Samhällsekonomi och finansförvaltning,KD,party_motion,15089,15009.626999999999,25.0,15004.768431769999,-84.23156823000136,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,3,"Skatt, tull och exekution",KD,party_motion,10939,10985.563999999998,38.0,11011.37116155,72.37116154999967,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,4,Rättsväsendet,KD,party_motion,43076,42461.197,1408.0,44058.545762689995,982.5457626899952,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,5,Internationell samverkan,KD,party_motion,1913,1913.291,250.20000000000002,1953.3613348200001,40.36133482000014,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,6,Försvar och samhällets krisberedskap,KD,party_motion,50294,50194.967000000004,485.0,50323.41789323999,29.41789323998819,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,7,Internationellt bistånd,KD,party_motion,34990,34990.005,1784.554,36706.67201382999,1716.6720138299934,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,8,Migration,KD,party_motion,34586,32580.319,6841.0,40033.513119949996,5447.513119949996,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,9,"Hälsovård, sjukvård och social omsorg",KD,party_motion,73075,68496.16400000002,1948.0,67411.13500985001,-5663.864990149988,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,10,Ekonomisk trygghet vid sjukdom och funktionsnedsättning,KD,party_motion,104404,107051.80500000001,120.0,101868.16484805,-2535.8351519499993,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,11,Ekonomisk trygghet vid ålderdom,KD,party_motion,36072,34774.450999999994,0.0,34657.67373785,-1414.3262621500035,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,12,Ekonomisk trygghet för familjer och barn,KD,party_motion,92459,89491.39799999999,-104.563,88659.9255322,-3799.0744678000046,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,13,Jämställdhet och nyanlända invandrares etablering,KD,party_motion,31333,26255.493000000002,22.0,18575.778093289995,-12757.221906710005,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,14,Arbetsmarknad och arbetsliv,KD,party_motion,69198,82036.40100000003,60.5,76914.21546636001,7716.215466360009,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,15,Studiestöd,KD,party_motion,18954,22433.998999999996,0.0,19670.73538058,716.7353805800012,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
