session,budget_year,party,expenditure_area,expenditure_area_name,amount_msek,deviation_msek,budget_share_pct,speech_keyword_occurrences,speech_attention_pct,attention_minus_budget_pp,alignment_correlation,source_url
2016/17,2017,SD,12,Ekonomisk trygghet för familjer och barn,88984,-507,9.5405,0,0.0,-9.5405,0.0191,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,SD,13,Jämställdhet och nyanlända invandrares etablering,15887,-16748,1.7033,3,6.0,4.2967,0.0191,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,SD,14,Arbetsmarknad och arbetsliv,78129,2472,8.3766,3,6.0,-2.3766,0.0191,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,SD,15,Studiestöd,22834,400,2.4482,0,0.0,-2.4482,0.0191,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,SD,16,Utbildning och universitetsforskning,71034,-1347,7.6159,1,2.0,-5.6159,0.0191,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,SD,17,"Kultur, medier, trossamfund och fritid",14625,104,1.568,0,0.0,-1.568,0.0191,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,SD,18,"Samhällsplanering, bostadsförsörjning och byggande samt konsumentpolitik",2390,-4375,0.2562,1,2.0,1.7438,0.0191,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,SD,19,Regional tillväxt,3595,0,0.3854,1,2.0,1.6146,0.0191,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,SD,20,Allmän miljö- och naturvård,6122,-2282,0.6564,1,2.0,1.3436,0.0191,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,SD,21,Energi,2522,-355,0.2704,1,2.0,1.7296,0.0191,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,SD,22,Kommunikationer,57273,2158,6.1406,0,0.0,-6.1406,0.0191,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,SD,23,"Areella näringar, landsbygd och livsmedel",19197,2008,2.0582,1,2.0,-0.0582,0.0191,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,SD,24,Näringsliv,6015,-441,0.6449,6,12.0,11.3551,0.0191,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,SD,25,Allmänna bidrag till kommuner,79593,-25962,8.5336,5,10.0,1.4664,0.0191,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,SD,26,Statsskuldsräntor m.m.,16468,0,1.7656,0,0.0,-1.7656,0.0191,https://data.riksdagen.se/dokument/H401FiU1.html
2016/17,2017,SD,27,Avgiften till Europeiska unionen,29586,0,3.1721,0,0.0,-3.1721,0.0191,https://data.riksdagen.se/dokument/H401FiU1.html
2017/18,2018,C,1,Rikets styrelse,14108,-423,1.932,0,0.0,-1.932,-0.0678,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,C,2,Samhällsekonomi och finansförvaltning,16274,-12,2.2286,2,3.2787,1.0501,-0.0678,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,C,3,"Skatt, tull och exekution",11257,-142,1.5416,5,8.1967,6.6551,-0.0678,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,C,4,Rättsväsendet,46427,650,6.3578,0,0.0,-6.3578,-0.0678,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,C,5,Internationell samverkan,2020,11,0.2766,0,0.0,-0.2766,-0.0678,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,C,6,Försvar och samhällets krisberedskap,53836,0,7.3724,0,0.0,-7.3724,-0.0678,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,C,7,Internationellt bistånd,42985,0,5.8865,0,0.0,-5.8865,-0.0678,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,C,8,Migration,15703,-45,2.1504,2,3.2787,1.1283,-0.0678,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,C,9,"Hälsovård, sjukvård och social omsorg",78244,548,10.7149,4,6.5574,-4.1575,-0.0678,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,C,10,Ekonomisk trygghet vid sjukdom och,103389,774,14.1584,1,1.6393,-12.5191,-0.0678,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,C,11,Ekonomisk trygghet vid ålderdom,34781,145,4.763,2,3.2787,-1.4843,-0.0678,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,C,12,Ekonomisk trygghet för familjer och barn,93283,-1303,12.7744,0,0.0,-12.7744,-0.0678,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,C,13,Jämställdhet och nyanlända invandrares etablering,25195,-405,3.4503,10,16.3934,12.9431,-0.0678,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,C,14,Arbetsmarknad och arbetsliv,62089,-11995,8.5026,3,4.918,-3.5846,-0.0678,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,C,15,Studiestöd,22831,-1522,3.1265,0,0.0,-3.1265,-0.0678,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,C,16,Utbildning och universitetsforskning,74235,-3731,10.1659,10,16.3934,6.2275,-0.0678,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,C,17,"Kultur, medier, trossamfund och fritid",14978,-902,2.0511,1,1.6393,-0.4118,-0.0678,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,C,18,"Samhällsplanering, bostadsförsörjning och byggande samt",2895,-4057,0.3964,1,1.6393,1.2429,-0.0678,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,C,19,Regional tillväxt,3922,0,0.5371,1,1.6393,1.1022,-0.0678,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,C,20,Allmän miljö- och naturvård,8343,-2430,1.1425,15,24.5902,23.4477,-0.0678,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,C,21,Energi,3438,-150,0.4708,4,6.5574,6.0866,-0.0678,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,KD,1,Rikets styrelse,14280,-251,1.9396,0,0.0,-1.9396,0.3232,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,KD,2,Samhällsekonomi och finansförvaltning,16129,-157,2.1907,0,0.0,-2.1907,0.3232,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,KD,3,"Skatt, tull och exekution",11348,-51,1.5413,0,0.0,-1.5413,0.3232,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,KD,4,Rättsväsendet,48601,2824,6.6012,0,0.0,-6.6012,0.3232,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,KD,5,Internationell samverkan,1997,-12,0.2712,1,3.3333,3.0621,0.3232,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,KD,6,Försvar och samhällets krisberedskap,55023,1187,7.4735,0,0.0,-7.4735,0.3232,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,KD,7,Internationellt bistånd,42994,9,5.8396,0,0.0,-5.8396,0.3232,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,KD,8,Migration,17261,1513,2.3445,0,0.0,-2.3445,0.3232,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,KD,9,"Hälsovård, sjukvård och social omsorg",78811,1115,10.7045,24,80.0,69.2955,0.3232,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,KD,10,Ekonomisk trygghet vid sjukdom och,96401,-6214,13.0936,1,3.3333,-9.7603,0.3232,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,KD,11,Ekonomisk trygghet vid ålderdom,34279,-357,4.6559,2,6.6667,2.0108,0.3232,https://data.riksdagen.se/dokument/H501FiU1.html
